bates_number,status
HOUSE_OVERSIGHT_010264,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010265,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010266,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010267,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010268,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010269,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010270,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010271,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010272,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010273,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010274,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010275,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010276,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010277,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010278,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010279,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010280,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010281,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010282,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010283,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010284,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010285,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010286,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010287,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010288,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010289,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010290,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010291,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010292,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010293,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010294,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010295,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010296,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010297,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010298,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010299,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010300,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010301,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010302,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010303,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010304,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010305,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010306,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010307,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010308,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010309,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010310,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010311,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010312,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010313,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010314,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010315,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010316,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010317,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010318,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010319,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010320,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010321,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010322,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010323,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010324,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010325,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010326,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010327,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010328,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010329,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010330,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010331,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010332,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010333,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010334,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010335,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010336,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010337,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010338,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010339,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010340,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010341,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010342,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010343,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010344,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010345,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010346,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010347,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010348,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010349,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010350,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010351,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010352,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010353,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010354,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010355,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010356,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010357,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010358,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010359,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010360,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010361,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010362,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010363,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010364,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010365,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010366,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010367,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010368,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010369,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010370,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010371,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010372,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010373,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010374,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010375,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010376,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010377,produced to House Oversight; not posted publicly
